shape,scale0,beta1
7.016819488381459,714.5105722889186,0.0
5.355533521438876,717.4252765279898,0.0
6.6372587089506805,821.8474714746932,0.0
5.9572531081132665,765.6734756303064,0.0
5.031198059136405,798.3554323372297,0.0
5.9033735452120615,718.5786999195948,0.0
3.1989685187373103,874.964024942927,0.0
3.954827920071678,786.510501151477,0.0
6.060276906899882,763.24157457477,0.0
5.894641050949096,821.6015226156534,0.0
4.398769309438253,779.2002025099295,0.0
5.157671033109492,807.9316104512825,0.0
5.357468587664657,781.0857864158961,0.0
6.235455050074232,803.1750445406617,0.0
5.344088832288265,764.4250151292397,0.0
4.9089923969676,684.0319637495151,0.0
4.790829922390927,727.8275877374538,0.0
4.936213445534121,795.2484005114081,0.0
5.481920072212619,867.7851651641959,0.0
6.245334753730554,802.7793258255427,0.0
5.035686458879197,707.4844517479272,0.0
4.453055918196789,767.342719015382,0.0
4.421687608659828,806.0527887197557,0.0
5.759123320978815,767.2008284604332,0.0
6.039608602408524,760.0528623080035,0.0
3.955314214571223,731.994739344119,0.0
3.7023059066283532,830.7499247519695,0.0
5.337390389157454,857.0845056110213,0.0
4.127474386312556,802.3744873922775,0.0
6.093789625797202,712.9076322352257,0.0
4.591280808320324,821.9164543363619,0.0
4.097655220001952,781.4556024598782,0.0
6.562857173259651,723.695773872756,0.0
4.207253872409787,721.443854917374,0.0
4.56146382140445,773.0942194112653,0.0
4.150325247641545,748.0665665012625,0.0
4.024645749906785,712.7932002487746,0.0
3.2926253338937213,695.4874229216849,0.0
3.6681666991607593,754.0221168889709,0.0
4.228732076160407,814.204050173626,0.0
3.613251167796964,860.3078929340911,0.0
5.3092542173815485,809.654099295027,0.0
5.5521553388038525,781.241930683076,0.0
4.84594704494491,721.9883844601449,0.0
4.6755866703089985,749.727775595858,0.0
5.11402673354691,776.4338377092351,0.0
6.248558771415446,770.1852900565145,0.0
6.195167814419228,751.2662082773558,0.0
3.5663971448738185,757.9738947080959,0.0
4.278602138262663,747.344874216049,0.0
4.408954204588794,808.1186045579173,0.0
4.48519792064362,776.0530358351389,0.0
5.251232413111766,807.9399802130093,0.0
4.898750558941649,743.7208005484657,0.0
3.6276550117975055,760.302146403339,0.0
4.833754626331946,724.0130440870892,0.0
5.165779873643168,772.2429297604522,0.0
3.8907430329323605,822.307528092951,0.0
